Year,SP_m1,SP_m2,SP_m3,SP_m4,SP_m5,SP_m6,SP_m7,SP_m8,SP_m9,SP_m10,SP_m11,SP_m12,QQQ_m1,QQQ_m2,QQQ_m3,QQQ_m4,QQQ_m5,QQQ_m6,QQQ_m7,QQQ_m8,QQQ_m9,QQQ_m10,QQQ_m11,QQQ_m12
2000,,-0.015226219884398207,0.0969145010142416,-0.035120565593672826,-0.015722416103582715,0.019681329045047047,-0.015701913512052523,0.06534063781099642,-0.05486213522583805,-0.004677971072867271,-0.0746525995085846,-0.0052266290342105615,,0.19024421490137833,0.025760843517852905,-0.1347024708687472,-0.12269161182909094,0.1240600780679757,-0.04280958666996004,0.13626811196803335,-0.126691015674685,-0.07940161315537486,-0.22910675839390215,-0.07318290620991785
2001,0.04445904979810433,-0.09538761603429413,-0.056037162270289764,0.08544053449387268,-0.0056057410882013325,-0.023829139388730658,-0.010196317935268762,-0.05933215985048357,-0.08163058603910633,0.013021581547756789,0.07797763197782936,0.005639106355580292,0.10149910239852211,-0.262052976927454,-0.17492074336899432,0.17879943006342747,-0.03076933315039221,0.02168567718025516,-0.08621429331698327,-0.12284482245829698,-0.2088454887670682,0.16977251195617837,0.16961589744190975,-0.018662987294501887
2002,-0.009798733721536168,-0.017936117884738034,0.033270652196132344,-0.0581555479558129,-0.00593363219751164,-0.07380769218070582,-0.07881928427802898,0.006801244697693498,-0.10485257101082424,0.08228341033035069,0.06168182795904409,-0.05657033070666839,-0.010279981024216456,-0.12282518046116009,0.06749550511960112,-0.12007756102720579,-0.053261818058370825,-0.13115820579792614,-0.08620755143223424,-0.015093718993850591,-0.11792278063395878,0.18484520895017953,0.12912440283636162,-0.12085151844123498
2003,-0.0245948537883679,-0.013478828946660415,0.00214014840191723,0.08461153669398014,0.054836033455800015,0.010651978947836982,0.0180274419912152,0.020625418156676956,-0.010906735343853557,0.0535280144571717,0.010920508137036933,0.05031303789018837,0.002872582524894307,0.029459977715322605,0.0035769808407632997,0.08712875307252088,0.08524579347890193,0.00537075899550965,0.06176983882713061,0.0500004757885415,-0.029051087357238936,0.08513267706098127,0.005685284466423246,0.03092854636712894
2004,0.019769789875682342,0.013570323263584427,-0.013245431072197,-0.018921263857571313,0.017123714944179635,0.01850120082463702,-0.03221896126750945,0.002436011947085648,0.010037074654481337,0.012885006747797023,0.04451717576645309,0.03012136365531637,0.016730423341140277,-0.013487882930695583,-0.019962098702996922,-0.02985500190368462,0.05119393545218909,0.03255791461259738,-0.07551610297506306,-0.024935970951845632,0.03292183472875343,0.05008553666282323,0.06016269592420875,0.030222931685769394
2005,-0.022420610439695343,0.020903315242382314,-0.018292871102117414,-0.018734406158301353,0.03222431762651179,0.001514943955887471,0.03826120155734758,-0.009374373022696725,0.00802524751150413,-0.0236507301393456,0.04395226210964487,-0.0019134561112189585,-0.06312574493444578,-0.004812673351237473,-0.01746416051973354,-0.04347790997392831,0.08862164924888871,-0.0332453799830168,0.07612751472900126,-0.015158746194595119,0.012314527628487726,-0.014952460067124362,0.06097265636000104,-0.017762526204763707
2006,0.02401420720761749,0.005725370655988771,0.01650371073416479,0.01263211910152906,-0.03012094396614018,0.002608097707403445,0.0044783747001837515,0.021822532222284474,0.02700172534396561,0.031516849522386536,0.01988465922013516,0.013371592829100942,0.039346691285669255,-0.021428660871056437,0.020910647938594096,-0.0019084695172795207,-0.07240158260896767,-0.0006151855136546924,-0.04307491423200038,0.04770922422723545,0.04639538312240399,0.04747857218050422,0.0342882484018876,-0.018787337336857113
2007,0.015040308624773013,-0.019617777889834875,0.011589210968406372,0.04429567666736367,0.03392017129111413,-0.014620753111398876,-0.031310477678824666,0.012832668519430657,0.03871455545131419,0.013566271456143308,-0.038731791011840766,-0.01126109151694843,0.021083866680144947,-0.016790869480183046,0.005247876307572952,0.05582377114059245,0.031549356024985764,0.004792675910872957,-0.0014705106550273461,0.02819255104171514,0.052521520301983315,0.07041453670497644,-0.06759996712349958,-0.0007128931509799985
2008,-0.06046131774693042,-0.02584225783620797,-0.008942096837709634,0.04766262533557253,0.015116107245807031,-0.08357570145998017,-0.008985835630535122,0.015453800255605943,-0.09417386189470733,-0.16518622350039291,-0.06960701809040681,0.009796720323578478,-0.11889887580202563,-0.0483051146078074,0.018723579191159745,0.07982546998992346,0.05930981462079177,-0.0961503807737828,0.006420059908677889,0.014518125667885462,-0.1557621583301101,-0.15471641763577437,-0.11462454762760554,0.022773984727837426
2009,-0.08211472456941937,-0.10744890412959207,0.08331046443978529,0.09934690907144628,0.05845307609643835,-0.000655010962250957,0.07460590633582953,0.03693919877742613,0.035457176743994845,-0.019225054761153437,0.06160683928763944,0.019100720591888054,-0.022864828014757088,-0.052649385351893674,0.10316492068679728,0.13060657754721028,0.03208871287026893,0.0295291628397083,0.08438725792780533,0.014701962980081307,0.056479792214965796,-0.030532499402399882,0.0634764918460684,0.05202805269251809
