week,Rakuten LN_cum,Rakuten LN_weekly,Rakuten QQQ_cum,Rakuten QQQ_weekly,Rakuten S&P 500_cum,Rakuten S&P 500_weekly,Rakuten VTI_cum,Rakuten VTI_weekly
2024/12/02W,,,,,,,,
2024/12/09W,,,,,,,,
2024/12/16W,,,,,,,,
2024/12/23W,,,,,,,,
2024/12/30W,,,,,,,,
2025/01/06W,,,,,,,,
2025/01/13W,,,,,,,,
2025/01/20W,,,,,,,,
2025/01/27W,,,,,,,,
2025/02/03W,,,,,,,,
2025/02/10W,,,,,,,,
2025/02/17W,,,,,,,,
2025/02/24W,,,,,,,,
2025/03/03W,,,,,,,,
2025/03/10W,,,,,,,,
2025/03/17W,,,,,,,,
2025/03/24W,,,,,,,,
2025/03/31W,,,,,,,,
2025/04/07W,,,,,,,,
2025/04/14W,,,,,,,,
2025/04/21W,,,,,,,,
2025/04/28W,,,,,,,,
2025/05/05W,,,,,,,,
2025/05/12W,,,,,,,,
2025/05/19W,,,,,,,,
2025/05/26W,,,,,,,,
2025/06/02W,,,,,,,,
2025/06/09W,,,,,,,,
2025/06/16W,,,,,,,,
2025/06/23W,,,,,,,,
2025/06/30W,,,,,,,,
2025/07/07W,,,,,,,,
2025/07/14W,,,,,,,,
2025/07/21W,,,,,,,,
2025/07/28W,,,,,,,,
2025/08/04W,,,,,,,,
2025/08/11W,,,,,,,,
2025/08/18W,,,,,,,,
2025/08/25W,,,,,,,,
2025/09/01W,,,,,,,,
2025/09/08W,,,,,,,,
2025/09/15W,,,,,,,,
2025/09/22W,,,,,,,,
2025/09/29W,,,,,,,,
2025/10/06W,,,,,,,,
2025/10/13W,,,,,,,,
2025/10/20W,,,,,,,,
2025/10/27W,,,,,,,,
2025/11/03W,,,,,,,,
2025/11/10W,,,,,,,,
2025/11/17W,,,,,,,,
2025/11/24W,,,,,,,,
2025/12/01W,,2.493266641015768,,0.39775238335753027,,-0.29398201521789735,,-0.1806753696210861
2025/12/08W,,0.0,,0.0,,0.0,,0.0
2025/12/15W,,0.0,,0.0,,0.0,,0.0
2025/12/22W,,0.0,,0.0,,0.0,,0.0
2025/12/29W,,0.0,,0.0,,0.0,,0.0
2026/01/05W,,0.0,,0.0,,0.0,,0.0
2026/01/12W,,0.0,,0.0,,0.0,,0.0
2026/01/19W,,0.0,,0.0,,0.0,,0.0
2026/01/26W,,0.0,,0.0,,0.0,,0.0
2026/02/02W,,0.0,,0.0,,0.0,,0.0
2026/02/09W,,0.0,,0.0,,0.0,,0.0
2026/02/16W,,0.0,,0.0,,0.0,,0.0
2026/02/23W,,0.0,,0.0,,0.0,,0.0
2026/03/02W,,0.0,,0.0,,0.0,,0.0
2026/03/09W,,0.0,,0.0,,0.0,,0.0
2026/03/16W,,0.0,,0.0,,0.0,,0.0
2026/03/23W,,0.0,,0.0,,0.0,,0.0
2026/03/30W,,0.0,,0.0,,0.0,,0.0
2026/04/06W,,0.0,,0.0,,0.0,,0.0
2026/04/13W,,0.0,,0.0,,0.0,,0.0
2026/04/20W,,0.0,,0.0,,0.0,,0.0
2026/04/27W,,0.0,,0.0,,0.0,,0.0
2026/05/04W,,0.0,,0.0,,0.0,,0.0
