week,QQQ_1M_shock_score,QQQ_1W_shock_score,SP_1M_shock_score,SP_1W_shock_score
2011-04-25,,1.290234768819782,,1.868842652237921
2011-05-02,,1.3588200883831443,,1.6941509232817114
2011-05-09,,1.505674763142053,,1.5026369137029525
2011-05-16,,1.8479528116772863,,1.1648575703381536
2011-05-23,,1.9801664606186595,,0.9560619996515605
2011-05-30,,2.0442756432490046,,0.7056243709538315
2011-06-06,2.0290471373624497,2.420426821820149,2.427627271477834,0.1989528930389314
2011-06-13,1.9765258584109107,2.407696114468063,2.310139520222701,0.052368623334426226
2011-06-20,1.9208074132802342,2.6304439421300363,2.2338597373679345,0.8731450817337711
2011-06-27,1.8165068386369945,2.316319640765457,2.0587701650623615,0.7190102903157756
2011-07-04,1.6835022990330055,2.1411666746567124,1.8974447753755168,1.1335052478131376
2011-07-11,1.6158150550666677,2.410870534467675,1.8086596471533851,1.9492368277415957
2011-07-18,1.5666523909186796,2.2989606612308435,1.7463356077785408,1.9919645359887659
2011-07-25,1.6966204760692356,2.3088745252096787,1.991208704314781,2.4192175772021587
2011-08-01,1.876601453663766,2.335691269101223,2.2139076966662805,2.6919400351737384
2011-08-08,1.8965709485853484,2.103029686568464,2.217661227022884,2.390577135560075
2011-08-15,1.779742962029823,1.0819809596016516,2.1914887551872035,0.2636801692285804
2011-08-22,1.7705112906324536,1.1578659142550216,2.0974503163935867,0.4154692147182309
2011-08-29,1.8640900850326443,1.631169762845264,2.093017727479587,1.0519382577911538
2011-09-05,1.8512671814515202,1.7169839736607928,2.0020466831940436,1.462101437781418
2011-09-12,1.6901230119449693,1.7325464911957236,1.789648135531234,1.5403294819156303
2011-09-19,1.613513294434306,1.7897509190470067,1.6956406186134407,1.7731534369719684
2011-09-26,1.1671720586547445,2.516782713647632,1.190384368970197,3.024757591489901
2011-10-03,1.226352164457337,2.0562188767102763,1.2280475397596986,2.2090938080117493
2011-10-10,1.1278652436806975,1.8747530735819513,1.0676383601821637,1.7753886046419904
2011-10-17,1.1950536589548546,2.0743605093875415,1.0386733873884708,2.0275119672655157
2011-10-24,1.2072052126075816,2.0169616845210694,0.9972579172005158,1.975583229935843
2011-10-31,1.2979500707941243,2.0596261752491523,1.067204672358127,2.0851219531893705
2011-11-07,1.689999506500702,1.9129874288629145,1.4056899095450612,1.889219613709652
2011-11-14,1.6369059155322598,1.9420356222833446,1.4372730256916924,1.9539373822449686
2011-11-21,2.1350878102353383,1.9494333848821217,1.9692859384104768,1.9730865677258547
2011-11-28,2.1004624847953313,1.803674004402063,1.915872695253727,1.7566328947542595
2011-12-05,2.031276478688152,1.7262263913334583,1.8562927536609,1.6556877252796014
2011-12-12,1.9030937127387104,1.7286879641961799,1.7127176799277988,1.686540851979896
2011-12-19,1.6212258331196205,1.6765458071201194,1.395486992435668,1.5747237044421776
