section,key,title,description
MRDI,definition,MRDIとは,MRDI（Mahalanobis Risk Distance Index）は、株価指数・金利・為替・VIXなど複数の市場指標を同時に考慮し、現在の市場状態が過去の通常状態からどれだけ乖離しているかを測定する指標です。値が高いほど『過去と比べて珍しい組み合わせの状態』にあることを示しますが、上昇・下落の方向を直接示すものではありません。
MRDI_Short,role,MRDI_Shortの役割,MRDI_Shortは短期（約2〜3か月）の市場分布を基準とした乖離度です。過去検証では、MRDI_Shortが上位10%（P90）を超える局面において、当日の大変動発生確率が通常時の約6〜7倍に上昇することが確認されています。本指標は主に『当日〜直近』の急激な値動きや市場の歪みを検知します。
MRDI_Long,role,MRDI_Longの役割,MRDI_Longは長期（約3年）の市場分布を基準とした乖離度です。MRDI_Longが上位10%（P90）を超える局面では、当日だけでなく5日・20日スパンにおいても大変動発生確率が通常時の約3〜5倍に上昇する傾向が確認されています。本指標は市場構造やレジームが通常状態から外れているかを把握する目的で用いられます。
RiskScore,definition,RiskScoreの定義,RiskScoreはMRDI_ShortとMRDI_Longを統合した実務向け指標です。検証結果では、RiskScoreが0.8を超える局面において、当日の大きな値動き発生確率が通常時の約6倍に上昇することが確認されています。RiskScoreは方向性を示すものではなく、市場が通常運用モードか注意・調整が必要なモードかを判断するための『行動スイッチ』として利用されます。
Lag,characteristic,指標の時間特性,MRDIおよびRiskScoreは先行予測型の指標ではなく、統計的に『当日（lag=0）』で最も強く反応する同時型指標です。1〜3日前でも一定の有効性は確認されますが、時間が経過するにつれて効果は低下します。したがって、本指標は将来予測ではなく、現在の市場状態認識に用いられます。
Threshold,usage,代表的な閾値の考え方,実務上の目安として、MRDI_ShortまたはMRDI_Longが上位10%（P90）を超える場合、またはRiskScoreが0.8を超える場合は、市場が非平常状態に入っている可能性が高いと判断されます。これらの閾値は方向性判断ではなく、リスク管理姿勢を切り替えるための基準として用いられます。
Percentile,definition,上位◯%（Percentile）の定義,本システムにおける『上位◯%』とは、過去の全観測期間における当該指標の分布を基準にした相対順位（パーセンタイル）を指します。例えば『上位10%（P90）』とは、過去データの90%点を超える水準に現在の値が位置していることを意味し、全期間の中でも特に高い（稀な）状態であることを示します。
Percentile,interpretation,Percentileの解釈,パーセンタイルは『直近◯日間の中での順位』や『将来確率』を意味するものではありません。あくまで、過去の市場状態全体と比較して現在の状態がどれだけ極端かを示す指標です。
Percentile,usage,Percentileの使い方,MRDIやRiskScoreにおけるパーセンタイルは、方向性判断のためではなく、市場状態が『通常レンジ』か『非平常レンジ』かを区別するために用いられます。上位◯%に位置する局面では、統計的に価格変動幅が拡大しやすく、リスク管理姿勢を切り替える判断材料として活用されます。
Summary,scope,Summaryの位置づけ,本Summaryは市場の上昇・下落方向を断定するものではありません。MRDIおよびRiskScoreを用いて『現在の市場環境が通常か非平常か』を整理し、適切なリスク管理行動を検討するための情報提供を目的としています。
Signal,scope,Signalの意味,Signalは売買方向（BUY/SELL）を示す予測ではなく、市場状態に応じた行動モード（通常運用・高ボラティリティ対応・防御姿勢など）を示すものです。方向性は価格動向や別レイヤーの判断ロジックに委ねられます。
