variable,coef,p_value,t_value
VIX,0.0022117122514506357,2.0271119999951993e-19,9.065409696357777
RET_USDJPY_MA60,-12.333090331072253,7.89370586361667e-13,-7.190054138050118
RET_QQQ_MA60,-32.12491665977065,1.4078878175215805e-10,-6.434558421065617
m_2_x_RET_QQQ,-0.8013180849060223,1.7078278107857906e-09,-6.039614258211558
RET_NASDAQ_MA60,32.512705999978515,1.4898847474146246e-08,5.676234565451739
RET_VIX_MA60,-1.0816221076418886,1.927229460749205e-06,-4.769034045015862
RiskScore,0.11625280915723266,7.076985423173477e-06,4.498216143535725
MRDI_Long,-0.011556736257179276,7.752810875762496e-06,-4.478669066382441
m_12_x_RET_QQQ,-0.7073724289212124,2.5132333553839875e-05,-4.219304879730446
RET_GOLD_MA60,-4.460931731828904,2.7404962594196034e-05,-4.199644024033065
m_2_x_RET_SP500,0.7672977948658928,3.382351087731463e-05,4.1515034774526764
m_12_x_RET_SP500,0.7314874588921942,0.00010901456935647597,3.874054188453441
MRDI_Short,-0.010132985683213587,0.00011304251882801655,-3.865169572225069
const,-0.026674911322173547,0.00024326370105329676,-3.6730742056470618
m_8_x_RET_QQQ,-0.5132294487110035,0.0003541748014140951,-3.575609186702801
m_7_x_RET_QQQ,-0.4690650525405849,0.0005701761034012846,-3.448614158755942
RET_NASDAQ_MA20,10.976312922899268,0.0007900359337245941,3.359228615421961
RET_VIX_MA20,-0.4054712139142133,0.0009489635155669922,-3.3080764853804183
RET_QQQ_20D,-1.699728814295446,0.0029950153350466603,-2.9703472094448338
RET_DOW_MA20,6.002609314602422,0.005344455188068871,2.787261996964071
wd_4_x_RET_QQQ,-0.37703400323795244,0.006635784126406319,-2.7162268787365584
USDJPY,0.00016507251177728211,0.008168916201503037,2.646530964004507
wd_3_x_RET_QQQ,-0.3513908938461774,0.011007058847397416,-2.5438417991857603
RET_QQQ_MA20,37.809926716323865,0.012023963042553024,2.5127623553452603
RET_USDJPY_MA20,2.515988975446934,0.012319472596004884,2.504168476520489
wd_2_x_RET_QQQ,-0.34169651965081493,0.012872250334784166,-2.4885719701157396
wd_1_x_MRDI_Long,-0.004513851065795014,0.01424077281940541,-2.4523694399988893
wd_0_x_RET_QQQ,-0.32638434505177594,0.020339025251235432,-2.3211009341007705
RET_TLT_MA60,5.595842788039336,0.02359738545648596,2.264620385331394
wd_1_x_RET_QQQ,-0.3032230525067022,0.02874935932379377,-2.187817307579483
m_3_x_RET_QQQ,-0.2811676482448898,0.02980811102815952,-2.173526104858869
RET_TLT,0.3315330443198288,0.03258861570845432,2.137972324499498
m_1_x_RET_QQQ,0.3612004002069741,0.03264808359175016,2.1372407960603126
RET_SP500_MA20,-35.18864512956712,0.04429269574465531,-2.0120412057635004
wd_4_x_MRDI_Long,-0.0040946972208405295,0.046640852156208244,-1.9902576238760912
m_10_x_RET_SP500,-0.3696453855393628,0.05400070055754104,-1.9274850126087317
RET_US10Y,0.10723040077045637,0.05459852979323317,1.9227073402123922
US10Y,-0.0024667785866991036,0.061898926418619465,-1.8676222900494923
m_11_x_RET_QQQ,0.26022099160139744,0.06690366429419659,1.8328957114172553
m_1_x_RET_SP500,-0.37250551107680085,0.0789921050765839,-1.7570811759857554
RET_US10Y_MA20,-0.8033311762040636,0.08481094188246069,-1.7239220031079616
m_11_x_RET_SP500,-0.28225394079657407,0.10580727244616556,-1.6177502307039622
wd_3_x_MRDI_Short,-0.003522438827839943,0.11735973859394928,-1.5663418505647388
m_6_x_RET_QQQ,0.20730549586911257,0.143544792441786,1.4630478861960436
wd_2_x_MRDI_Short,-0.0027164545549876753,0.1703693281593461,-1.3713023958747435
m_8_x_RET_SP500,0.23789179835551244,0.17620044655475725,1.3528224455881033
wd_0_x_MRDI_Short,-0.002636419337688802,0.19492504528481502,-1.296396588070897
RET_SP500_20D,0.8403691479846087,0.197149988055067,1.2899613503738783
RET_VIX,-0.019945942748453183,0.20496295967396547,-1.2677760220887877
m_4_x_RET_SP500,-0.22488139805371588,0.2159083982896005,-1.23770704337901
m_10_x_RET_QQQ,0.20405820935912958,0.21953300176931226,1.2279925584321694
MA20_MRDI,0.0014041577667765676,0.22065297905876546,1.2250141754645985
wd_4_x_RET_SP500,0.19208183504895235,0.23013978166687135,1.2002097307312178
wd_2_x_RET_SP500,0.18053478295091094,0.2614671556843846,1.1231130071481554
m_5_x_RET_SP500,0.22541461055270817,0.26754384701222017,1.108914558759442
wd_3_x_RET_SP500,0.1790258265158048,0.2722407281968838,1.0980913910390817
wd_1_x_RET_SP500,0.1550353559514122,0.3338073194343668,0.9666080748232618
RET_NASDAQ,-0.4511409149005699,0.41338510000961504,-0.8180494293534684
wd_0_x_RET_SP500,0.13369134751979025,0.4230276515915494,0.8012743769447694
m_7_x_RET_SP500,0.14086971079303012,0.452765712989461,0.7508967018590008
