date,RiskScore,Regime,MRDI_Short,MRDI_Long,MA20_MRDI,MA60_MRDI
2005-01-03,,,,,,
2005-01-04,,,,,,
2005-01-05,,,,,,
2005-01-06,,,,,,
2005-01-07,,,,,,
2005-01-10,,,,,,
2005-01-11,,,,,,
2005-01-12,,,,,,
2005-01-13,,,,,,
2005-01-14,,,,,,
2005-01-17,,,,,,
2005-01-18,,,,,,
2005-01-19,,,,,,
2005-01-20,,,,,,
2005-01-21,,,,,,
2005-01-24,,,,,,
2005-01-25,,,,,,
2005-01-26,,,,,,
2005-01-27,,,,,,
2005-01-28,,,,,,
2005-01-31,,,,,,
2005-02-01,,,,,,
2005-02-02,,,,,,
2005-02-03,,,,,,
2005-02-04,,,,,,
2005-02-07,,,,,,
2005-02-08,,,,,,
2005-02-09,,,,,,
2005-02-10,,,,,,
2005-02-11,,,,,,
2005-02-14,,,,,,
2005-02-15,,,,,,
2005-02-16,,,,,,
2005-02-17,,,,,,
2005-02-18,,,,,,
2005-02-21,,,,,,
2005-02-22,,,,,,
2005-02-23,,,,,,
2005-02-24,,,,,,
2005-02-25,,,,,,
2005-02-28,,,,,,
2005-03-01,,,,,,
2005-03-02,,,,,,
2005-03-03,,,,,,
2005-03-04,,,,,,
2005-03-07,,,,,,
2005-03-08,,,,,,
2005-03-09,,,,,,
2005-03-10,,,,,,
2005-03-11,,,,,,
2005-03-14,,,,,,
2005-03-15,,,,,,
2005-03-16,,,,,,
2005-03-17,,,,,,
2005-03-18,,,,,,
2005-03-21,,,,,,
2005-03-22,,,,,,
2005-03-23,,,,,,
2005-03-24,,,,,,
2005-03-25,,,,,,
2005-03-28,,,3.062159509258753,,,
2005-03-29,,,2.018465108863893,,,
2005-03-30,,,2.717020991361233,,,
2005-03-31,,,1.9300631530658747,,,
2005-04-01,,,2.9013884702543895,,,
2005-04-04,,,1.682456908333952,,,
2005-04-05,,,1.265706040216437,,,
2005-04-06,,,1.9884665962039938,,,
2005-04-07,,,2.7180398675971444,,,
2005-04-08,,,2.694943208121491,,,
2005-04-11,,,2.677213516015509,,,
2005-04-12,,,2.3908993826728544,,,
2005-04-13,,,4.684424159014249,,,
2005-04-14,,,3.700922146299897,,,
2005-04-15,,,5.385303239816515,,,
2005-04-18,,,2.7523318806599737,,,
2005-04-19,,,3.4091737983750607,,,
2005-04-20,,,2.8370598970267844,,,
2005-04-21,,,4.699354236381016,,,
2005-04-22,,,3.0617347514074744,,,
2005-04-25,,,1.6808615886256653,,,
2005-04-26,,,2.406496717705222,,,
2005-04-27,,,2.629408613225312,,,
2005-04-28,,,2.7549551035649555,,,
2005-04-29,,,3.969248355927904,,,
2005-05-02,,,2.1046901894524317,,,
2005-05-03,,,1.9634759242533866,,,
2005-05-04,,,3.708276962051646,,,
2005-05-05,,,1.2750007024470111,,,
2005-05-06,,,3.1774027147944848,,,
2005-05-09,,,2.1000285980765074,,,
2005-05-10,,,2.215403498781467,,,
2005-05-11,,,1.2310805698706542,,,
2005-05-12,,,3.4889214079343427,,,
2005-05-13,,,3.6972296927637243,,,
2005-05-16,,,2.275467381860318,,,
2005-05-17,,,1.8891160943307284,,,
2005-05-18,,,2.4903602985443922,,,
2005-05-19,,,1.9254461165539412,,,
2005-05-20,,,1.8073296450267182,,,
2005-05-23,,,1.874425137873224,,,
2005-05-24,,,1.4759894661714057,,,
2005-05-25,,,2.026104404825782,,,
2005-05-26,,,1.592735306736183,,,
2005-05-27,,,0.9732689082904864,,,
2005-05-30,,,0.24223567410056177,,,
2005-05-31,,,2.697421623192235,,,
2005-06-01,,,2.901296752920689,,,
2005-06-02,,,3.054004494045084,,,
2005-06-03,,,3.8089808558437745,,,
2005-06-06,,,2.1050895172879276,,,
2005-06-07,,,2.5520403814635233,,,
2005-06-08,,,2.0106576224325305,,,
2005-06-09,,,1.5983726437732613,,,
2005-06-10,,,5.370148440537047,,,
2005-06-13,,,2.4104144545380475,,,
2005-06-14,,,2.2481202316882563,,,
2005-06-15,,,0.8136904537389592,,,
2005-06-16,,,3.5781690625804274,,,
2005-06-17,,,2.071215763956905,,,
2005-06-20,,,1.8242592365499029,,,
2005-06-21,,,2.6505553766636227,,,
2005-06-22,,,2.689542011868174,,,
2005-06-23,,,2.964983538832638,,,
2005-06-24,,,2.8017748998823917,,,
2005-06-27,,,1.2822089662609477,,,
2005-06-28,,,3.135153423806071,,,
2005-06-29,,,1.8777512295477994,,,
2005-06-30,,,2.3479269184138936,,,
2005-07-01,,,4.205545716376088,,,
2005-07-04,,,0.6443695004091994,,,
2005-07-05,,,3.6183726639824894,,,
2005-07-06,,,1.962953552502245,,,
2005-07-07,,,1.6977219496954141,,,
2005-07-08,,,3.165899267000536,,,
2005-07-11,,,2.179086940038552,,,
2005-07-12,,,2.666703777645867,,,
2005-07-13,,,2.3267838002172505,,,
2005-07-14,,,2.6395600496992104,,,
2005-07-15,,,1.5187449716902335,,,
2005-07-18,,,2.6807130118092153,,,
2005-07-19,,,2.9560925221932672,,,
2005-07-20,,,2.089919923435258,,,
2005-07-21,,,6.738285554790654,,,
2005-07-22,,,2.828826401123345,,,
2005-07-25,,,1.978354308178982,,,
2005-07-26,,,1.8070904641362096,,,
2005-07-27,,,1.8399828946058312,,,
2005-07-28,,,2.8377097278539085,,,
2005-07-29,,,3.44655584523777,,,
2005-08-01,,,2.6072407566459015,,,
2005-08-02,,,2.3790732524429186,,,
2005-08-03,,,1.891387416597523,,,
2005-08-04,,,2.2436015721699416,,,
2005-08-05,,,2.7777951473162763,,,
2005-08-08,,,2.4002622029951595,,,
2005-08-09,,,2.1566025503874067,,,
2005-08-10,,,3.194806090936555,,,
2005-08-11,,,3.9855493056099633,,,
2005-08-12,,,2.982328495372203,,,
2005-08-15,,,2.012749039285173,,,
2005-08-16,,,3.4955845576969127,,,
2005-08-17,,,2.859850146322349,,,
2005-08-18,,,2.1473838345935183,,,
2005-08-19,,,1.207040134006745,,,
2005-08-22,,,1.5239357653892553,,,
2005-08-23,,,1.5087303877843403,,,
2005-08-24,,,2.270061601783257,,,
2005-08-25,,,1.1270656265759984,,,
2005-08-26,,,2.0831245315275786,,,
2005-08-29,,,1.7972026549145395,,,
2005-08-30,,,3.490026418116725,,,
2005-08-31,,,3.193526333949543,,,
2005-09-01,,,3.843077451167122,,,
2005-09-02,,,1.337015788446681,,,
2005-09-05,,,1.067266991644936,,,
2005-09-06,,,3.072951766302417,,,
2005-09-07,,,2.8799650442527183,,,
2005-09-08,,,2.075076500027217,,,
2005-09-09,,,2.9130637856492023,,,
2005-09-12,,,2.661113894875784,,,
2005-09-13,,,2.901126076411946,,,
2005-09-14,,,3.033683627902802,,,
2005-09-15,,,3.3134547393085665,,,
2005-09-16,,,4.076736529580853,,,
2005-09-19,,,2.4059663220427865,,,
2005-09-20,,,1.9702722120144638,,,
2005-09-21,,,3.584992367140408,,,
2005-09-22,,,3.289110387752965,,,
2005-09-23,,,2.4349812854504984,,,
2005-09-26,,,1.6181223417244783,,,
2005-09-27,,,2.2684074042156976,,,
2005-09-28,,,2.091434113356732,,,
2005-09-29,,,2.7121788181635855,,,
2005-09-30,,,1.8917466630523252,,,
2005-10-03,,,2.7646433306328615,,,
2005-10-04,,,2.2214170366511796,,,
2005-10-05,,,3.3089349472376703,,,
2005-10-06,,,3.7743226160721957,,,
2005-10-07,,,1.9291920218440246,,,
2005-10-10,,,1.7461927888710167,,,
2005-10-11,,,2.751922985970877,,,
2005-10-12,,,3.946812176326393,,,
2005-10-13,,,2.313725834676587,,,
2005-10-14,,,2.902729559520639,,,
2005-10-17,,,3.552013990444535,,,
2005-10-18,,,2.3381838281448926,,,
2005-10-19,,,3.9870315878544282,,,
2005-10-20,,,5.033921115599134,,,
2005-10-21,,,4.532675200492573,,,
2005-10-24,,,3.407377771473359,,,
2005-10-25,,,3.003442356218196,,,
2005-10-26,,,2.4533206109266503,,,
2005-10-27,,,3.0449002760873496,,,
2005-10-28,,,3.9013383199893052,,,
2005-10-31,,,5.466078761317138,,,
2005-11-01,,,2.572227735233846,,,
2005-11-02,,,2.7944017916186663,,,
2005-11-03,,,2.8617394378780654,,,
2005-11-04,,,2.2238735472400912,,,
2005-11-07,,,2.550485014159496,,,
2005-11-08,,,2.6446932831102643,,,
2005-11-09,,,2.764726206273145,,,
2005-11-10,,,3.4311934060145046,,,
2005-11-11,,,1.1434831133558256,,,
2005-11-14,,,2.368762732234631,,,
2005-11-15,,,2.0528490499532976,,,
2005-11-16,,,4.159127514330251,,,
2005-11-17,,,3.1431736707809614,,,
2005-11-18,,,1.2398595936937225,,,
2005-11-21,,,2.1547433027355667,,,
2005-11-22,,,1.6581624277520042,,,
2005-11-23,,,2.321724468833166,,,
2005-11-24,,,0.6726744292194001,,,
2005-11-25,,,1.984902296972119,,,
2005-11-28,,,2.937591907176441,,,
2005-11-29,,,2.523042880148618,,,
2005-11-30,,,3.331293447384096,,,
2005-12-01,,,3.7751826664636527,,,
2005-12-02,,,1.6238354576033975,,,
2005-12-05,,,2.219769750235843,,,
2005-12-06,,,2.256842800914064,,,
2005-12-07,,,1.748392284977517,,,
2005-12-08,,,2.7977685621380792,,,
2005-12-09,,,2.260751088752282,,,
2005-12-12,,,2.4238858647170236,,,
2005-12-13,,,2.9240091410491327,,,
2005-12-14,,,6.920220030341963,,,
2005-12-15,,,2.9641961606950535,,,
2005-12-16,,,1.8300663536650572,,,
2005-12-19,,,2.8756860211597464,,,
2005-12-20,,,3.721030896542625,,,
2005-12-21,,,1.0324643527429274,,,
2005-12-22,,,2.6733099127664253,,,
2005-12-23,,,1.4673074163794917,,,
2005-12-26,,,0.43955020576252457,,,
2005-12-27,,,3.215248216162392,,,
2005-12-28,,,2.0485994705634467,,,
2005-12-29,,,1.238326408274007,,,
2005-12-30,,,1.4970863560279606,,,
2006-01-02,,,0.49570800214009475,,,
2006-01-03,,,5.657987282592162,,,
2006-01-04,,,1.9464309215224824,,,
2006-01-05,,,2.4878822393710376,,,
2006-01-06,,,4.461788941326882,,,
2006-01-09,,,1.8710172344907725,,,
2006-01-10,,,2.2466370263255375,,,
2006-01-11,,,1.5541893310638724,,,
2006-01-12,,,2.148734408106296,,,
2006-01-13,,,2.1000967858814037,,,
2006-01-16,,,1.572025361093613,,,
2006-01-17,,,1.9923878640685602,,,
2006-01-18,,,2.932951476243744,,,
2006-01-19,,,2.8931869629985854,,,
2006-01-20,,,5.906637443901353,,,
2006-01-23,,,1.8708095801558051,,,
2006-01-24,,,1.9418731281114676,,,
2006-01-25,,,3.411396705347876,,,
2006-01-26,,,2.7407853868695558,,,
2006-01-27,,,3.3941850404210014,,,
2006-01-30,,,2.000994191368037,,,
2006-01-31,,,1.6732396368962061,,,
2006-02-01,,,2.7139887167015524,,,
2006-02-02,,,2.5667979476661777,,,
2006-02-03,,,3.194244406568276,,,
2006-02-06,,,1.2835098046758915,,,
2006-02-07,,,4.952668753662047,,,
2006-02-08,,,2.3819473473407307,,,
2006-02-09,,,3.6111660998873956,,,
2006-02-10,,,3.117114143751797,,,
2006-02-13,,,2.3596720794040404,,,
2006-02-14,,,2.586418486563125,,,
2006-02-15,,,2.403277571047359,,,
2006-02-16,,,1.8449937200711135,,,
2006-02-17,,,2.5975216403071335,,,
2006-02-20,,,0.507864025287425,,,
2006-02-21,,,1.7710604206887968,,,
2006-02-22,,,2.4361407545727154,,,
2006-02-23,,,3.2338319751298754,,,
2006-02-24,,,2.090070834679534,,,
2006-02-27,,,2.5501026838898957,,,
2006-02-28,,,2.933517258015918,,,
2006-03-01,,,2.578966125563626,,,
2006-03-02,,,2.351767080974856,,,
2006-03-03,,,2.0604324507230443,,,
2006-03-06,,,3.379297427479815,,,
2006-03-07,,,2.094198056421065,,,
2006-03-08,,,1.8166629212101555,,,
2006-03-09,,,1.4036601442961116,,,
2006-03-10,,,2.9887750022382567,,,
2006-03-13,,,1.7386549364028283,,,
2006-03-14,,,3.629454099225935,,,
2006-03-15,,,3.4294242441475116,,,
2006-03-16,,,4.122113074748404,,,
2006-03-17,,,2.057387542153661,,,
2006-03-20,,,2.1972370900469382,,,
2006-03-21,,,2.767539897631161,,,
2006-03-22,,,1.9540082341127898,,,
2006-03-23,,,2.10506707156418,,,
2006-03-24,,,2.609988358487612,,,
2006-03-27,,,2.081791319196761,,,
2006-03-28,,,3.3150865087319374,,,
2006-03-29,,,2.678249781890326,,,
2006-03-30,,,3.6842323853882046,,,
2006-03-31,,,2.0677198009815116,,,
