market_date,prev_market_date,week_avg_from,week_avg_to,Item,Latest,Δ vs Yesterday,% vs Yesterday,Δ vs LastWeekAvg,% vs LastWeekAvg,Percentile
2026-01-07,2026-01-06,2025-12-31,2026-01-07,QQQ,624.185,0.765,0.12,5.58,0.9,
2026-01-07,2026-01-06,2025-12-31,2026-01-07,SP500,6920.9302,-23.8896,-0.34,26.5762,0.39,
2026-01-07,2026-01-06,2025-12-31,2026-01-07,NASDAQ,23584.2754,37.1055,0.16,183.298,0.78,
2026-01-07,2026-01-06,2025-12-31,2026-01-07,DOW,49462.0781,0.0,0.0,592.675,1.21,
2026-01-07,2026-01-06,2025-12-31,2026-01-07,VIX,15.35,0.6,4.07,0.458,3.08,
2026-01-07,2026-01-06,2025-12-31,2026-01-07,US10Y,4.138,-0.041,-0.98,-0.0284,-0.68,
2026-01-07,2026-01-06,2025-12-31,2026-01-07,USDJPY,156.788,0.162,0.1,0.0786,0.05,
2026-01-07,2026-01-06,2025-12-31,2026-01-07,RiskScore,0.5222,0.0663,14.55,0.0196,3.9,
2026-01-07,2026-01-06,2025-12-31,2026-01-07,MRDI_Short,2.1687,0.3114,16.76,0.0366,1.71,
2026-01-07,2026-01-06,2025-12-31,2026-01-07,MRDI_Long,2.2828,0.2583,12.76,0.1224,5.67,
2026-01-07,2026-01-06,2025-12-31,2026-01-07,MA20_MRDI,2.274,,,,,29.7
2026-01-07,2026-01-06,2025-12-31,2026-01-07,MA60_MRDI,2.78,,,,,34.7
