target,window,variable,coef,p_value,t_value
QQQ_1W_FWD_SUM,3y,const,0.25019092515757946,1.1627093511137904e-05,4.432911879313234
QQQ_1W_FWD_SUM,3y,VIX,0.0015613622822131146,0.07487359456962772,1.7852690233644402
QQQ_1W_FWD_SUM,3y,US10Y,-0.006175198459514416,0.5100707864678604,-0.6592389525549809
QQQ_1W_FWD_SUM,3y,USDJPY,-0.0015538870065208345,0.00029167514339910436,-3.6504596227242585
QQQ_1W_FWD_SUM,3y,RET_QQQ,-0.47707552055093155,0.23309603646431953,-1.1939862417510982
QQQ_1W_FWD_SUM,3y,RET_SP500,0.1400553424721912,0.7094406190530815,0.3728371781891912
QQQ_1W_FWD_SUM,3y,RET_NASDAQ,-0.4316906831080015,0.5259266980428642,-0.6347177549627682
QQQ_1W_FWD_SUM,3y,RET_DOW,0.24753745569960856,0.45614213713201707,0.7458420580330964
QQQ_1W_FWD_SUM,3y,RET_VIX,-0.0399727176116735,0.10346558687558427,-1.631503304826419
QQQ_1W_FWD_SUM,3y,RET_US10Y,-0.0252890173496034,0.8686499992520061,-0.1654654770708429
QQQ_1W_FWD_SUM,3y,RET_USDJPY,0.050867962500964516,0.7286099791581794,0.34718560757208555
QQQ_1W_FWD_SUM,3y,RET_GOLD,0.09298640226120022,0.27290903551169093,1.0976959760207283
QQQ_1W_FWD_SUM,3y,RET_TLT,-0.17161756929236036,0.4621398708919734,-0.735941342262676
QQQ_1W_FWD_SUM,3y,RET_QQQ_MA20,56.00713035556112,0.4460472466731293,0.7626736859638734
QQQ_1W_FWD_SUM,3y,RET_SP500_MA20,-121.23304957273874,0.28146751030855177,-1.078288898794995
QQQ_1W_FWD_SUM,3y,RET_NASDAQ_MA20,-5.286990812565426,0.4972372946355698,-0.6793800778088891
QQQ_1W_FWD_SUM,3y,RET_DOW_MA20,-5.017361816437573,0.10371841712635119,-1.6303057559587748
QQQ_1W_FWD_SUM,3y,RET_VIX_MA20,0.2209036977137857,0.2992543863830011,1.0392019294874444
QQQ_1W_FWD_SUM,3y,RET_US10Y_MA20,3.3532681989900914,0.06963929415566343,1.818472551256741
QQQ_1W_FWD_SUM,3y,RET_USDJPY_MA20,3.7836894294030383,0.03149345890997782,2.1573483616326183
QQQ_1W_FWD_SUM,3y,RET_GOLD_MA20,-1.0852760316348502,0.20750987592867318,-1.2622104081461032
QQQ_1W_FWD_SUM,3y,RET_TLT_MA20,4.6302066707096925,0.08826261651191532,1.708244894918784
QQQ_1W_FWD_SUM,3y,RET_QQQ_MA60,-66.02321924665682,1.9902481144645444e-07,-5.2802062132573075
QQQ_1W_FWD_SUM,3y,RET_SP500_MA60,-54.59345626218668,4.716228590382054e-05,-4.108253913373784
QQQ_1W_FWD_SUM,3y,RET_NASDAQ_MA60,90.4858570897321,1.4024702948631233e-09,6.180799649544577
QQQ_1W_FWD_SUM,3y,RET_DOW_MA60,4.585442896483241,0.5199683973791224,0.6438867283794724
QQQ_1W_FWD_SUM,3y,RET_VIX_MA60,-1.1000668432106764,0.03297580443861006,-2.138797075088977
QQQ_1W_FWD_SUM,3y,RET_US10Y_MA60,8.477649230705234,0.02751350473690594,2.211162913589533
QQQ_1W_FWD_SUM,3y,RET_USDJPY_MA60,-2.6720531305343185,0.555854999691399,-0.5894389205588709
QQQ_1W_FWD_SUM,3y,RET_GOLD_MA60,-1.8806038731870973,0.3634330339372722,-0.9097418374406285
QQQ_1W_FWD_SUM,3y,RET_TLT_MA60,18.361322044757244,0.004595541369631566,2.8480114471724254
QQQ_1W_FWD_SUM,3y,MRDI_Short,-0.0010707821078418398,0.9196185316868124,-0.10096942804640431
QQQ_1W_FWD_SUM,3y,MRDI_Long,-0.000836357307658003,0.9385857015912883,-0.07708952205735037
QQQ_1W_FWD_SUM,3y,MA20_MRDI,-0.002990981368163019,0.261411187427695,-1.1244378636528771
QQQ_1W_FWD_SUM,3y,MA60_MRDI,0.0034469395359633566,0.2700577634963312,1.1042539827177018
QQQ_1W_FWD_SUM,3y,RiskScore,0.017440360135389715,0.8712212352842675,0.16219750811314015
QQQ_1W_FWD_SUM,3y,RET_QQQ_20D,-0.5990386868987083,0.7007937836672248,-0.3844878916433091
QQQ_1W_FWD_SUM,3y,RET_SP500_20D,2.216196770842782,0.36106181708333324,0.9142510840813491
QQQ_1W_FWD_SUM,3y,dQQQ_D,-0.4770755202982589,0.2330960366808433,-1.193986241197036
QQQ_1W_FWD_SUM,3y,dQQQ_W,-0.01828469714487535,0.9589976070417753,-0.051439419021527266
QQQ_1W_FWD_SUM,3y,dQQQ_M,-0.5990386868646984,0.700793783677491,-0.3844878916294457
QQQ_1W_FWD_SUM,3y,dSP500_D,0.14005534243788226,0.709440619121382,0.37283717809736544
QQQ_1W_FWD_SUM,3y,dSP500_W,-0.371710580960514,0.08517453254682075,-1.7251203377418687
QQQ_1W_FWD_SUM,3y,dSP500_M,2.2161967708074233,0.3610618170838952,0.9142510840802781
QQQ_1W_FWD_SUM,3y,wd_0_x_MRDI_Short,-0.00033407858371834213,0.9262205774811942,-0.09265151707060544
QQQ_1W_FWD_SUM,3y,wd_0_x_MRDI_Long,0.0004338367264809938,0.9091915831122671,0.11412083442609813
QQQ_1W_FWD_SUM,3y,wd_0_x_RET_QQQ,-0.13394028659687623,0.685564317239169,-0.40513702975794663
QQQ_1W_FWD_SUM,3y,wd_0_x_RET_SP500,0.4184099414129488,0.41062777077292695,0.8235366852747991
QQQ_1W_FWD_SUM,3y,wd_1_x_MRDI_Short,0.001463587009456135,0.6988829004832651,0.38706962219798113
QQQ_1W_FWD_SUM,3y,wd_1_x_MRDI_Long,-0.002341984955948313,0.5341513847283884,-0.6221481258897674
QQQ_1W_FWD_SUM,3y,wd_1_x_RET_QQQ,-0.06460856426759479,0.8430251310117967,-0.1981368702986953
QQQ_1W_FWD_SUM,3y,wd_1_x_RET_SP500,0.41719021929413874,0.40736835894902096,0.829290400525467
QQQ_1W_FWD_SUM,3y,wd_2_x_MRDI_Short,0.002606062784284017,0.5074627241448528,0.6633102106337044
QQQ_1W_FWD_SUM,3y,wd_2_x_MRDI_Long,-0.0017948820055916264,0.6547701544344865,-0.44743577697620146
QQQ_1W_FWD_SUM,3y,wd_2_x_RET_QQQ,-0.1093024774686831,0.7354167317688158,-0.3381327731595155
QQQ_1W_FWD_SUM,3y,wd_2_x_RET_SP500,0.34928568484571715,0.47859472842558637,0.7091409213455317
QQQ_1W_FWD_SUM,3y,wd_3_x_MRDI_Short,-0.0004762091481673638,0.9037191386015918,-0.12103095272379354
QQQ_1W_FWD_SUM,3y,wd_3_x_MRDI_Long,-0.000540651603907343,0.9038425721975241,-0.12087502909391204
QQQ_1W_FWD_SUM,3y,wd_3_x_RET_QQQ,-0.07404897935137977,0.8189242118058271,-0.2290592710543672
QQQ_1W_FWD_SUM,3y,wd_3_x_RET_SP500,0.41054030577192696,0.4096316437968378,0.8252922083579937
QQQ_1W_FWD_SUM,3y,wd_4_x_MRDI_Short,-0.004330142840925366,0.22133149759329634,-1.2246491586255286
QQQ_1W_FWD_SUM,3y,wd_4_x_MRDI_Long,0.0034073282888832375,0.40142995853650226,0.8398445181258165
QQQ_1W_FWD_SUM,3y,wd_4_x_RET_QQQ,-0.21713837915078382,0.5154130568237775,-0.6509334485393554
QQQ_1W_FWD_SUM,3y,wd_4_x_RET_SP500,0.6207706194275031,0.22528306656538286,1.2142224821060466
QQQ_1W_FWD_SUM,3y,m_1_x_RET_QQQ,0.44906070849732405,0.8119294850311329,0.23807369819475477
QQQ_1W_FWD_SUM,3y,m_1_x_RET_SP500,-0.2648213584089597,0.9041787407914533,-0.12045038955142488
QQQ_1W_FWD_SUM,3y,m_2_x_RET_QQQ,-5.224454227181017,0.015291986540103691,-2.434454059760439
QQQ_1W_FWD_SUM,3y,m_2_x_RET_SP500,7.179247100978291,0.011812824922087784,2.527722805738352
QQQ_1W_FWD_SUM,3y,m_3_x_RET_QQQ,2.725862287621957,0.10504385768541949,1.6240655108401503
QQQ_1W_FWD_SUM,3y,m_3_x_RET_SP500,-0.5631717475472866,0.7453514642014938,-0.324969227667415
